Description: Standardized Precipitation Evapotranspiration Index (SPEI) at timescales between 1 and 48 months. Each column is a time series of monthly SPEI values starting on January 1901. Units: standard (Z) scores, i.e. normally distributed values with mean 0 and unit standard deviation. Missing value: NA. Not a number: nan. Version: 2.5 - July 2017. Comment: Using Penman equation for ET. Creators: Santiago Beguería - santiago.begueria_add_the_at_symbol_csic.es and Sergio Vicente-Serrano - svicen_add_the_at_symbol_ipe.csic.es.
SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
0.17785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.22451,0.09261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.52621,0.34977,0.22652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.17719,0.27983,0.16431,0.09289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.09554,-0.75292,-0.12466,-0.15116,-0.15257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.23414,-1.41847,-1.09984,-0.43331,-0.39857,-0.34598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.09943,-1.43188,-1.52824,-1.27888,-0.6776,-0.6091,-0.52276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.92015,-1.24542,-1.44354,-1.55482,-1.4047,-0.88749,-0.81321,-0.70557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.51881,-1.00344,-1.23156,-1.39712,-1.48466,-1.37766,-0.9507,-0.89795,-0.79422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.78129,0.1375,-0.41449,-0.748,-0.97613,-1.14617,-1.09781,-0.74974,-0.71343,-0.65286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
