ucdavis_id,acession_id,spp,year,location,value,ala,asp,glu,gly,ile,leu,phe,pro,val,ser,thr
KVH164,,palila,,,ave,2.72,3.27,5.94,5.96,,4.20,5.51,9.79,7.22,-1.30,-11.01
KVH165,,palila,,,ave,2.39,2.76,5.40,5.91,,3.01,4.45,10.53,6.27,-1.32,-12.21
KVH166,,palila,,,ave,6.39,3.48,6.46,7.46,,5.54,6.35,9.65,7.71,0.27,-10.98
KVH167,,palila,,,ave,3.77,2.43,5.45,6.90,,4.47,3.81,9.29,6.60,-0.87,-11.45
KVH168,,palila,,,ave,2.00,0.84,4.21,1.74,,0.43,6.75,8.68,5.78,0.48,-4.25
KVH169,,palila,,,ave,2.38,2.72,6.33,5.34,,4.94,4.77,8.82,6.79,-0.20,-11.35
KVH170,,palila,,,ave,3.07,4.00,7.22,5.81,,3.88,5.60,11.13,6.62,0.60,-8.55
KVH171,,palila,,,ave,4.88,3.56,6.48,6.69,,5.41,4.83,9.98,7.45,-0.09,-13.24
KVH172,,palila,,,ave,3.99,0.38,7.16,4.51,,4.77,8.04,10.25,4.89,2.27,-5.52
KVH174,,palila,,,ave,4.31,3.98,7.70,7.11,,4.99,6.16,11.40,7.73,0.18,-11.34
KVH175,,palila,,,ave,1.97,2.32,5.97,5.94,,3.30,4.49,11.00,6.16,-1.69,-14.37
KVH176,,palila,,,ave,4.32,3.70,7.33,5.32,,5.00,6.52,10.08,8.94,-1.03,-15.54
KVH177,,palila,,,ave,2.27,3.34,7.80,4.72,,4.37,7.59,10.24,9.84,-1.03,-15.21
KVH178,,palila,,,ave,7.18,3.26,8.12,6.23,,4.75,8.19,10.22,7.48,0.35,-14.19
KVH179,,palila,,,ave,6.27,4.34,8.46,4.70,,6.25,9.51,13.16,8.19,-0.52,-15.12
KVH180,,palila,,,ave,5.42,4.23,7.97,7.20,,5.52,6.12,12.64,8.42,0.97,-10.48
KVH181,,palila,,,ave,3.83,3.16,7.35,6.63,,4.19,3.04,12.16,7.85,0.63,-10.16
KVH182,,palila,,,ave,1.48,2.20,4.41,3.89,,0.29,2.55,10.29,6.64,-0.33,-5.69
KVH183,,palila,,,ave,3.10,2.89,6.49,6.79,,3.77,3.49,11.31,6.00,-0.33,-10.04
KVH184,,palila,,,ave,1.91,1.99,5.00,5.57,,3.31,2.20,10.74,5.56,-1.94,-11.64
KVH185,,palila,,,ave,1.90,2.21,5.26,5.58,,3.87,2.77,12.01,5.49,-1.51,-11.57
KVH186,,palila,,,ave,2.28,2.50,5.95,5.44,,3.30,4.25,12.63,5.37,-2.17,-12.05
KVH187,,palila,,,ave,2.41,3.09,6.37,5.67,,4.09,3.26,13.62,6.73,-0.88,-10.94
KVH188,,palila,,,ave,1.96,2.97,5.45,4.78,,3.38,2.20,9.89,5.93,-1.86,-10.42
KVH189,,palila,,,ave,1.22,2.77,4.74,5.97,,4.14,2.48,11.78,5.91,-0.53,-8.58
KVH190,,palila,,,ave,-0.89,1.43,4.69,4.51,,2.48,2.25,8.50,3.41,-3.05,-8.99
KVH191,,palila,,,ave,-1.14,-0.14,3.65,0.76,,-0.35,5.56,8.86,0.84,0.17,-5.88
KVH192,,palila,,,ave,2.45,3.65,7.22,6.57,,3.36,5.41,10.70,6.13,-0.69,-11.61
KVH193,,palila,,,ave,2.88,5.38,8.90,7.10,,4.55,5.94,16.70,6.91,0.03,-8.03
KVH194,,palila,,,ave,0.86,3.61,6.99,5.76,,3.34,3.96,12.85,5.55,-1.64,-9.71
KVH195,,palila,,,ave,2.27,3.58,7.18,6.79,,3.28,7.43,10.58,6.12,-1.85,-11.82
KVH196,,palila,,,ave,0.91,2.03,7.06,5.89,,3.20,7.41,9.60,6.23,-1.45,-8.85
KVH197,,palila,,,ave,0.70,2.16,7.13,6.21,,2.71,7.41,10.85,5.66,-3.04,-12.01
KVH198,,palila,,,ave,1.84,3.78,7.93,5.85,,4.01,4.32,11.34,7.24,-1.05,-10.27
KVH199,,palila,,,ave,2.37,2.72,7.34,5.91,,3.03,6.33,10.20,5.58,-1.09,-8.68
KVH200,,palila,,,ave,0.44,2.85,6.57,4.58,,2.65,3.34,10.85,5.51,-2.66,-8.48
KVH201,,palila,,,ave,1.80,2.31,6.71,5.55,,2.96,4.71,10.90,6.65,-1.28,-9.40
KVH202,,palila,,,ave,3.02,2.80,7.41,4.56,,3.40,5.57,9.12,7.54,-0.30,-9.34
KVH203,,palila,,,ave,1.43,3.02,6.84,4.48,,3.33,3.43,11.82,6.92,-1.47,-10.10
KVH204,,palila,,,ave,2.21,2.80,7.41,4.02,,3.28,7.04,10.23,6.98,-2.67,-8.44
KVH205,,palila,,,ave,1.61,2.50,6.90,5.92,,2.99,4.37,10.68,6.70,-1.94,-9.47
KVH206,,palila,,,ave,3.62,2.65,7.09,4.99,,4.14,6.96,10.82,7.97,-0.44,-10.10
KVH207,,palila,,,ave,3.61,3.03,6.75,5.07,,3.80,4.59,10.74,7.35,-0.04,-11.00
KVH208,,palila,,,ave,4.43,3.49,6.96,5.62,,4.14,2.18,11.63,8.20,-0.49,-11.78
KVH209,,palila,,,ave,4.26,2.78,6.79,4.09,,3.65,2.10,10.90,8.19,-0.97,-11.35
KVH210,,palila,,,ave,0.69,2.00,5.81,3.47,,1.77,3.20,13.15,5.95,-4.83,-10.83
KVH211,,palila,,,ave,3.30,2.35,6.39,4.27,,3.53,2.41,12.89,6.69,2.04,-4.09
KVH212,,palila,,,ave,2.93,2.30,6.22,3.44,,3.21,3.44,11.43,6.47,-0.86,-9.38
KVH213,,palila,,,ave,3.78,2.73,6.59,4.43,,4.05,2.13,12.23,8.18,-0.64,-9.32
KVH214,,palila,,,ave,3.61,2.63,6.88,5.38,,3.99,3.68,10.75,7.30,-0.74,-9.51
KVH215,,palila,,,ave,3.22,2.04,4.76,4.12,,2.04,1.59,9.70,6.99,0.58,-3.88
KVH164,,palila,,,sd,0.15,0.06,0.27,0.06,,0.21,0.42,0.13,0.53,0.22,0.15
KVH165,,palila,,,sd,0.43,0.09,0.09,0.16,,0.06,0.20,0.06,0.20,0.19,0.22
KVH166,,palila,,,sd,1.01,0.61,0.33,0.58,,0.36,0.68,0.43,0.48,0.56,1.05
KVH167,,palila,,,sd,1.01,0.03,0.07,0.07,,0.45,0.50,0.16,0.27,0.26,0.60
KVH168,,palila,,,sd,0.34,0.66,0.17,0.08,,0.55,0.79,0.40,0.89,0.38,0.57
KVH169,,palila,,,sd,0.36,0.24,0.31,0.14,,0.24,0.50,0.19,0.14,0.18,0.30
KVH170,,palila,,,sd,1.05,0.78,0.42,0.18,,0.23,0.27,0.11,0.09,0.06,0.20
KVH171,,palila,,,sd,0.65,0.82,0.23,0.32,,0.41,1.03,0.40,0.17,0.30,1.44
KVH172,,palila,,,sd,0.39,0.74,0.91,0.49,,0.63,0.77,0.22,0.97,0.34,1.70
KVH174,,palila,,,sd,0.17,0.09,0.40,0.37,,0.21,1.08,0.20,0.25,0.08,0.09
KVH175,,palila,,,sd,0.19,0.14,0.06,0.09,,0.08,0.53,0.02,0.14,0.07,0.82
KVH176,,palila,,,sd,0.06,0.25,0.11,0.17,,0.28,0.75,0.04,1.59,0.06,0.64
KVH177,,palila,,,sd,0.09,0.02,0.76,0.29,,0.34,0.92,0.26,0.34,0.23,0.29
KVH178,,palila,,,sd,0.29,0.31,0.11,0.47,,0.09,0.46,0.24,0.34,0.12,0.57
KVH179,,palila,,,sd,0.10,0.26,0.10,0.23,,0.08,0.57,0.14,0.28,0.15,0.46
KVH180,,palila,,,sd,0.35,0.24,0.40,0.35,,0.23,0.15,0.15,0.56,0.04,0.21
KVH181,,palila,,,sd,0.41,0.77,0.54,0.16,,0.41,0.79,0.12,0.48,0.16,0.72
KVH182,,palila,,,sd,0.34,0.38,0.67,0.20,,0.74,0.77,0.29,0.41,0.14,0.68
KVH183,,palila,,,sd,0.27,0.76,0.71,0.23,,0.47,0.95,0.09,0.64,0.21,0.24
KVH184,,palila,,,sd,0.43,0.15,0.32,0.37,,0.28,0.15,0.06,0.02,0.11,0.42
KVH185,,palila,,,sd,0.35,0.65,0.21,0.12,,0.39,0.47,0.23,0.39,0.16,0.32
KVH186,,palila,,,sd,0.69,0.24,0.28,0.41,,0.09,0.35,0.05,0.20,0.05,0.25
KVH187,,palila,,,sd,1.01,0.47,0.27,0.19,,0.13,0.29,0.24,0.25,0.51,0.83
KVH188,,palila,,,sd,0.32,0.40,0.20,0.19,,0.05,0.61,0.17,0.63,0.33,0.56
KVH189,,palila,,,sd,0.31,0.31,0.27,0.38,,0.21,0.59,0.75,0.55,0.57,1.00
KVH190,,palila,,,sd,0.35,0.18,0.55,0.43,,0.05,0.59,0.24,0.42,0.19,0.39
KVH191,,palila,,,sd,0.27,0.50,0.54,0.49,,0.37,0.06,0.31,0.14,0.18,0.83
KVH192,,palila,,,sd,0.46,0.19,0.19,0.08,,0.46,0.47,0.20,0.46,0.17,0.17
KVH193,,palila,,,sd,0.04,0.21,0.17,0.07,,0.14,0.57,0.27,0.29,0.40,0.37
KVH194,,palila,,,sd,0.13,0.01,0.20,0.23,,0.21,0.55,0.07,0.18,0.09,0.35
KVH195,,palila,,,sd,0.08,0.23,0.26,0.36,,0.05,0.47,0.24,0.11,0.23,0.59
KVH196,,palila,,,sd,0.58,0.04,0.34,0.17,,0.20,0.36,0.65,0.20,0.73,0.61
KVH197,,palila,,,sd,0.17,0.14,0.18,0.05,,0.25,0.28,0.24,0.28,0.21,0.81
KVH198,,palila,,,sd,0.29,0.06,0.13,0.05,,0.24,0.09,0.18,0.17,0.03,0.33
KVH199,,palila,,,sd,0.94,0.36,0.24,0.37,,0.15,0.49,0.21,0.58,0.20,0.12
KVH200,,palila,,,sd,0.07,0.17,0.04,0.02,,0.10,0.21,0.50,0.15,0.39,0.43
KVH201,,palila,,,sd,0.52,0.39,0.19,0.32,,0.21,0.46,0.08,0.54,0.10,0.17
KVH202,,palila,,,sd,0.09,0.27,0.40,0.07,,0.01,0.03,0.14,0.06,0.09,1.11
KVH203,,palila,,,sd,0.14,0.22,0.24,0.23,,0.12,0.08,0.05,0.07,0.14,0.46
KVH204,,palila,,,sd,0.09,0.17,0.10,0.23,,0.15,0.19,0.07,0.12,0.15,0.19
KVH205,,palila,,,sd,0.19,0.16,0.25,0.25,,0.07,0.17,0.02,0.11,0.06,0.04
KVH206,,palila,,,sd,0.14,0.40,0.17,0.09,,0.27,0.19,0.08,0.10,0.06,0.18
KVH207,,palila,,,sd,0.05,0.50,0.33,0.15,,0.15,0.20,0.15,0.09,0.17,0.20
KVH208,,palila,,,sd,0.85,0.64,0.65,0.30,,0.43,0.63,0.83,0.91,0.66,0.45
KVH209,,palila,,,sd,0.28,0.20,0.32,0.23,,0.23,0.44,0.08,0.46,0.21,0.24
KVH210,,palila,,,sd,0.17,0.26,0.10,0.10,,0.24,0.76,0.06,0.42,0.17,0.16
KVH211,,palila,,,sd,0.24,0.20,0.07,0.13,,0.19,0.72,0.19,0.47,0.23,0.89
KVH212,,palila,,,sd,0.19,0.40,0.39,0.10,,0.09,0.10,0.17,0.17,0.33,0.31
KVH213,,palila,,,sd,0.15,0.04,0.25,0.12,,0.15,0.43,0.31,0.47,0.26,0.46
KVH214,,palila,,,sd,0.19,0.24,0.42,0.60,,0.31,0.27,0.19,0.28,0.16,0.16
KVH215,,palila,,,sd,0.54,0.29,0.14,0.18,,0.40,0.75,0.69,0.98,0.86,1.02
