ucdavis_id,acession_id,spp,year,location,value,glx,lys,pro
KVH164,,palila,,,ave,7.411,-1.198,10.414
KVH165,,palila,,,ave,7.533,-1.939,12.357
KVH166,,palila,,,ave,7.200,-0.485,11.025
KVH167,,palila,,,ave,7.527,-2.704,11.114
KVH168,,palila,,,ave,8.103,0.623,11.678
KVH169,,palila,,,ave,7.655,0.100,11.595
KVH170,,palila,,,ave,7.166,-0.528,11.224
KVH171,,palila,,,ave,7.991,-0.565,12.123
KVH172,,palila,,,ave,8.207,-2.715,11.999
KVH173,,palila,,,ave,7.314,0.311,11.530
KVH174,,palila,,,ave,8.629,-0.452,13.575
KVH175,,palila,,,ave,7.526,-0.738,12.578
KVH176,,palila,,,ave,7.905,-1.295,11.740
KVH177,,palila,,,ave,8.753,-2.381,12.124
KVH178,,palila,,,ave,8.744,-1.487,11.329
KVH179,,palila,,,ave,8.873,-2.807,13.920
KVH180,,palila,,,ave,8.058,-1.642,12.616
KVH181,,palila,,,ave,7.073,-1.730,12.160
KVH182,,palila,,,ave,6.323,-0.160,12.289
KVH183,,palila,,,ave,7.489,0.661,12.192
KVH184,,palila,,,ave,7.057,2.143,11.793
KVH185,,palila,,,ave,7.047,-0.779,12.424
KVH186,,palila,,,ave,8.182,1.656,11.421
KVH187,,palila,,,ave,8.096,0.075,13.699
KVH188,,palila,,,ave,6.959,1.105,11.452
KVH189,,palila,,,ave,6.665,-0.709,11.523
KVH190,,palila,,,ave,5.989,0.069,9.308
KVH191,,palila,,,ave,7.229,-0.602,11.585
KVH192,,palila,,,ave,7.814,-1.091,11.741
KVH193,,palila,,,ave,9.296,1.511,16.790
KVH194,,palila,,,ave,7.034,-1.775,12.390
KVH195,,palila,,,ave,7.061,-0.796,12.336
KVH196,,palila,,,ave,7.211,1.913,11.218
KVH197,,palila,,,ave,7.268,2.021,11.164
KVH198,,palila,,,ave,8.246,1.563,11.561
KVH199,,palila,,,ave,7.395,1.380,11.128
KVH200,,palila,,,ave,6.330,0.778,10.203
KVH201,,palila,,,ave,7.151,-0.801,12.094
KVH202,,palila,,,ave,5.752,-1.651,11.722
KVH203,,palila,,,ave,6.479,0.295,12.130
KVH204,,palila,,,ave,6.720,1.781,11.638
KVH205,,palila,,,ave,4.774,0.835,10.800
KVH206,,palila,,,ave,6.651,0.533,9.688
KVH207,,palila,,,ave,5.883,-1.016,11.026
KVH208,,palila,,,ave,6.689,0.654,12.403
KVH209,,palila,,,ave,5.533,-0.003,11.339
KVH210,,palila,,,ave,6.504,2.213,12.447
KVH211,,palila,,,ave,5.458,-0.668,10.933
KVH212,,palila,,,ave,4.682,-1.309,11.443
KVH213,,palila,,,ave,5.324,1.269,11.490
KVH214,,palila,,,ave,5.862,1.444,10.684
KVH215,,palila,,,ave,5.487,-1.348,10.714
KVH164,,palila,,,sd,0.001,0.187,0.066
KVH165,,palila,,,sd,0.730,0.092,1.061
KVH166,,palila,,,sd,0.327,0.507,0.203
KVH167,,palila,,,sd,0.770,1.057,0.030
KVH168,,palila,,,sd,0.124,0.878,0.203
KVH169,,palila,,,sd,0.200,0.285,0.030
KVH170,,palila,,,sd,0.016,0.015,0.053
KVH171,,palila,,,sd,0.161,0.263,0.265
KVH172,,palila,,,sd,0.269,0.815,0.038
KVH173,,palila,,,sd,0.242,0.453,0.107
KVH174,,palila,,,sd,0.081,0.271,0.068
KVH175,,palila,,,sd,0.117,0.520,0.416
KVH176,,palila,,,sd,0.314,1.008,0.206
KVH177,,palila,,,sd,0.007,0.185,0.139
KVH178,,palila,,,sd,0.028,1.199,0.209
KVH179,,palila,,,sd,0.017,0.708,0.369
KVH180,,palila,,,sd,0.132,0.757,0.097
KVH181,,palila,,,sd,0.131,0.339,0.118
KVH182,,palila,,,sd,0.168,0.952,0.221
KVH183,,palila,,,sd,0.150,0.054,0.087
KVH184,,palila,,,sd,0.101,0.488,0.467
KVH185,,palila,,,sd,0.073,0.094,0.165
KVH186,,palila,,,sd,0.385,0.817,0.406
KVH187,,palila,,,sd,0.132,1.194,0.303
KVH188,,palila,,,sd,0.747,1.244,0.066
KVH189,,palila,,,sd,0.002,0.940,0.033
KVH190,,palila,,,sd,0.049,0.867,0.202
KVH191,,palila,,,sd,0.316,1.943,0.101
KVH192,,palila,,,sd,0.205,0.047,0.216
KVH193,,palila,,,sd,0.317,0.287,0.052
KVH194,,palila,,,sd,0.400,0.260,0.369
KVH195,,palila,,,sd,0.226,1.546,0.133
KVH196,,palila,,,sd,0.110,1.419,0.468
KVH197,,palila,,,sd,0.085,0.678,0.134
KVH198,,palila,,,sd,0.057,0.383,0.263
KVH199,,palila,,,sd,0.123,0.482,0.187
KVH200,,palila,,,sd,0.266,1.700,0.050
KVH201,,palila,,,sd,0.876,0.646,0.197
KVH202,,palila,,,sd,0.425,1.205,0.298
KVH203,,palila,,,sd,0.144,0.976,0.191
KVH204,,palila,,,sd,0.822,1.498,0.184
KVH205,,palila,,,sd,0.112,0.942,0.006
KVH206,,palila,,,sd,0.620,1.076,0.771
KVH207,,palila,,,sd,0.081,0.262,0.134
KVH208,,palila,,,sd,0.008,0.575,0.075
KVH209,,palila,,,sd,0.069,0.151,0.096
KVH210,,palila,,,sd,0.285,1.455,0.236
KVH211,,palila,,,sd,0.066,0.992,0.047
KVH212,,palila,,,sd,0.129,0.769,0.076
KVH213,,palila,,,sd,0.549,0.455,0.040
KVH214,,palila,,,sd,0.110,0.256,0.159
KVH215,,palila,,,sd,0.035,0.387,0.132
