RACK,VIAL,ID_NO,YEAR,MONTH,DAY,DATE,SOURCE,CAT_NO,NAME,GENUS,SPECIES,SEX,AGE,SPEC_TYPE,SPEC_NOTES,SPEC_PREP,LAT,LON,LOCATION,REGION,ELEV_FT,COLLECTOR_NAME
PALI,1,Loba04061903ad535fe,1903,4,6,4/6/03,BPBM,3535,palila,Loxioides,bailleui,male,adult,feather,body contour,skin,19.85,-155.49,Hamakua,"Mauna Kea, north slope",unk,HW Henshaw
PALI,2,Loba04041903un537fe,1903,4,4,4/4/03,BPBM,3537,palila,Loxioides,bailleui,female,unk,feather,body contour,skin,19.85,-155.49,Hamakua,"Mauna Kea, north slope",unk,HW Henshaw
PALI,3,Loba04041903un538fe,1903,4,4,4/4/03,BPBM,3538,palila,Loxioides,bailleui,female,unk,feather,body contour,skin,19.85,-155.49,Hamakua,"Mauna Kea, north slope",unk,HW Henshaw
PALI,4,Loba12201902ju539fe,1902,12,20,12/20/02,BPBM,3539,palila,Loxioides,bailleui,male,juvenile,feather,body contour,skin,19.85,-155.49,Hamakua,"Mauna Kea, north slope",unk,C L Miller
PALI,5,Loba04041903ad540fe,1903,4,4,4/4/03,BPBM,3540,palila,Loxioides,bailleui,male,adult,feather,body contour,skin,19.85,-155.49,Hamakua,"Mauna Kea, north slope",unk,HW Henshaw
PALI,6,Loba04041903un542fe,1903,4,4,4/4/03,BPBM,3542,palila,Loxioides,bailleui,male,unk,feather,body contour,skin,19.85,-155.49,Hamakua,"Mauna Kea, north slope",unk,HW Henshaw
PALI,7,Loba04061903ad544fe,1903,4,6,4/6/03,BPBM,3544,palila,Loxioides,bailleui,female,adult,feather,body contour,skin,19.85,-155.49,Hamakua,"Mauna Kea, north slope",unk,HW Henshaw
PALI,8,Loba04041903ad545fe,1903,4,4,4/4/03,BPBM,3545,palila,Loxioides,bailleui,male,adult,feather,body contour,skin,19.85,-155.49,Hamakua,"Mauna Kea, north slope",unk,HW Henshaw
PALI,9,Loba04041903un546fe,1903,4,4,4/4/03,BPBM,3546,palila,Loxioides,bailleui,male,unk,feather,body contour,skin,19.85,-155.49,Hamakua,"Mauna Kea, north slope",unk,HW Henshaw
PALI,10,Loba04061903ad547fe,1903,4,6,4/6/03,BPBM,3547,palila,Loxioides,bailleui,female,adult,feather,body contour,skin,19.85,-155.49,Hamakua,"Mauna Kea, north slope",unk,HW Henshaw
PALI,11,Loba04041903un549fe,1903,4,4,4/4/03,BPBM,3549,palila,Loxioides,bailleui,male,unk,feather,body contour,skin,19.85,-155.49,Hamakua,"Mauna Kea, north slope",unk,HW Henshaw
