"","year","TL","sd","spp"
"1",1890,1.26157780340683,0.0666820478121859,"PALI"
"2",1891,1.25105236243775,0.0682597618163443,"PALI"
"3",1892,1.24076014933737,0.0697299213148757,"PALI"
"4",1893,1.23070007573667,0.0710895877629237,"PALI"
"5",1894,1.22087077687927,0.0723375354024365,"PALI"
"6",1895,1.21127080556053,0.0734736415382643,"PALI"
"7",1896,1.20189869835926,0.0744986014752046,"PALI"
"8",1897,1.19275297592297,0.0754137770354124,"PALI"
"9",1898,1.18383214325464,0.0762210752232697,"PALI"
"10",1899,1.17513469000887,0.0769228502959513,"PALI"
"11",1900,1.16665909080805,0.0775218240689448,"PALI"
"12",1901,1.1584038055923,0.0780210204712516,"PALI"
"13",1902,1.15036728002101,0.0784237112584633,"PALI"
"14",1903,1.1425479534247,0.0787333866762678,"PALI"
"15",1904,1.13494434204297,0.0789535283562878,"PALI"
"16",1905,1.12755521160882,0.079086745999948,"PALI"
"17",1906,1.12037942919951,0.0791353368938602,"PALI"
"18",1907,1.11341591168113,0.0791014865608464,"PALI"
"19",1908,1.10666362748225,0.0789872495665358,"PALI"
"20",1909,1.10012159846411,0.078794532980917,"PALI"
"21",1910,1.09378890188914,0.0785250821164383,"PALI"
"22",1911,1.0876646724862,0.0781804682711107,"PALI"
"23",1912,1.08174810460737,0.0777620782995047,"PALI"
"24",1913,1.07603845446553,0.0772711059221564,"PALI"
"25",1914,1.07053504243509,0.0767085447697233,"PALI"
"26",1915,1.06523725538911,0.0760751832470654,"PALI"
"27",1916,1.0601445490336,0.0753716013991259,"PALI"
"28",1917,1.05525645018465,0.0745981700703421,"PALI"
"29",1918,1.05057255891305,0.0737550527782971,"PALI"
"30",1919,1.04609255045515,0.0728422108774752,"PALI"
"31",1920,1.04181617675454,0.0718594127788098,"PALI"
"32",1921,1.03774326745517,0.0708062482256136,"PALI"
"33",1922,1.03387373011024,0.0696821489192814,"PALI"
"34",1923,1.03020754929848,0.0684864171547003,"PALI"
"35",1924,1.02674478424601,0.067218264584971,"PALI"
"36",1925,1.02348556443207,0.0658768638113441,"PALI"
"37",1926,1.02043008250237,0.0644614162148472,"PALI"
"38",1927,1.01757858361531,0.0629712403421957,"PALI"
"39",1928,1.01493135009127,0.0614058862626133,"PALI"
"40",1929,1.01248867990552,0.0597652826518045,"PALI"
"41",1930,1.01025085714157,0.058049924944773,"PALI"
"42",1931,1.00821811197212,0.0562611146977524,"PALI"
"43",1932,1.00639056702259,0.0544012621861017,"PALI"
"44",1933,1.00476816604119,0.052474265929127,"PALI"
"45",1934,1.00335057957425,0.0504859836083653,"PALI"
"46",1935,1.00213708071239,0.0484448074090628,"PALI"
"47",1936,1.00112638176018,0.046362350670078,"PALI"
"48",1937,1.00031641962116,0.0442542373953068,"PALI"
"49",1938,0.999704073357153,0.0421409540731312,"PALI"
"50",1939,0.999284791129245,0.0400486625922128,"PALI"
"51",1940,0.999052094701506,0.0380097682340654,"PALI"
"52",1941,0.998996917319514,0.0360628740384486,"PALI"
"53",1942,0.999106717298269,0.0342515393636918,"PALI"
"54",1943,0.999364309968157,0.0326210666427471,"PALI"
"55",1944,0.999746436257419,0.0312125649464078,"PALI"
"56",1945,1.00022244611832,0.0300541519408186,"PALI"
"57",1946,1.00075468745096,0.0291508187725254,"PALI"
"58",1947,1.00130511423897,0.0284774665369206,"PALI"
"59",1948,1.0018552675929,0.0279832758738658,"PALI"
"60",1949,1.0046202254609,0.0276313461633869,"PALI"
"61",1950,1.00967632380854,0.0273935366323177,"PALI"
"62",1951,1.01469523381716,0.0272366018040579,"PALI"
"63",1952,1.01950422991816,0.0271555854682155,"PALI"
"64",1953,1.0239911036419,0.0271488703520189,"PALI"
"65",1954,1.02810269358387,0.027213213552445,"PALI"
"66",1955,1.03182811848953,0.0273425787809319,"PALI"
"67",1956,1.03518216087264,0.0275286141265033,"PALI"
"68",1957,1.03819300661848,0.0277615921724561,"PALI"
"69",1958,1.04089430107619,0.0280312910182509,"PALI"
"70",1959,1.04332041910645,0.0283276484060038,"PALI"
"71",1960,1.04550386421061,0.0286411795293744,"PALI"
"72",1961,1.04747398848583,0.0289632049664693,"PALI"
"73",1962,1.04925649358576,0.0292859446876169,"PALI"
"74",1963,1.05087337208564,0.0296025261398492,"PALI"
"75",1964,1.05234308197411,0.0299069421930026,"PALI"
"76",1965,1.05368083173386,0.0301939834714302,"PALI"
"77",1966,1.05489890573682,0.0304591608386919,"PALI"
"78",1967,1.05600675607166,0.0306986656063917,"PALI"
"79",1968,1.05701071631307,0.0309094057859338,"PALI"
"80",1969,1.05791515943931,0.0310888150996711,"PALI"
"81",1970,1.05872297025904,0.0312347524728768,"PALI"
"82",1971,1.05943573197255,0.0313454516280879,"PALI"
"83",1972,1.06005389220508,0.0314194811467079,"PALI"
"84",1973,1.06057690938757,0.0314557141538378,"PALI"
"85",1974,1.06100338103947,0.0314533068732507,"PALI"
"86",1975,1.06133115578467,0.0314116854716963,"PALI"
"87",1976,1.06155743097715,0.0313305408250451,"PALI"
"88",1977,1.06167883773028,0.0312098310720396,"PALI"
"89",1978,1.06169151499871,0.0310497920647193,"PALI"
"90",1979,1.06159117418991,0.0308509560740221,"PALI"
"91",1980,1.06137315560766,0.0306141793628677,"PALI"
"92",1981,1.06103247786286,0.0303406794944252,"PALI"
"93",1982,1.06056388123381,0.0300320834931215,"PALI"
"94",1983,1.05996186582183,0.0296904882045985,"PALI"
"95",1984,1.0592207252279,0.0293185343781664,"PALI"
"96",1985,1.05833457637188,0.0289194960684079,"PALI"
"97",1986,1.05729738598621,0.0284973868340783,"PALI"
"98",1987,1.05610299423898,0.0280570837651719,"PALI"
"99",1988,1.05474520231876,0.027604398013027,"PALI"
"100",1989,1.05321792537802,0.0271460779863489,"PALI"
"101",1990,1.05151472834652,0.0266903296008605,"PALI"
"102",1991,1.04962856168775,0.0262470510066582,"PALI"
"103",1992,1.04755227235572,0.0258278796116745,"PALI"
"104",1993,1.0452786579338,0.025446198693111,"PALI"
"105",1994,1.04280042203275,0.0251172769097812,"PALI"
