SIF Internal ID	Client ID	VIAL	ID_NO	YEAR	MONTH	DAY	DATE
KVH164	1	1	Loba04061903ad535fe	1903	4	6	4/6/1903
KVH165	2	2	Loba04041903un537fe	1903	4	4	4/4/1903
KVH166	3	3	Loba04041903un538fe	1903	4	4	4/4/1903
KVH167	4	4	Loba12201902ju539fe	1902	12	20	12/20/1902
KVH168	5	5	Loba04041903ad540fe	1903	4	4	4/4/1903
KVH169	6	6	Loba04041903un542fe	1903	4	4	4/4/1903
KVH170	7	7	Loba04061903ad544fe	1903	4	6	4/6/1903
KVH171	8	8	Loba04041903ad545fe	1903	4	4	4/4/1903
KVH172	9	9	Loba04041903un546fe	1903	4	4	4/4/1903
KVH173	10	10	Loba04061903ad547fe	1903	4	6	4/6/1903
KVH174	11	11	Loba04041903un549fe	1903	4	4	4/4/1903
KVH175	12	12	Loba04041903un550fe	1903	4	4	4/4/1903
KVH176	13	13	Loba04041903un551fe	1903	4	4	4/4/1903
KVH177	14	14	Loba04041903un552fe	1903	4	4	4/4/1903
KVH178	15	15	Loba04041902un553fe	1902	4	4	4/4/1902
KVH179	16	16	Loba10081891un062fe	1891	10	8	10/08/1891
KVH180	17	17	Loba02021892un063fe	1892	2	2	02/02/1892
KVH181	18	18	Loba08191987un982fe	1987	8	19	8/19/1987
KVH182	19	19	Loba08191987un983fe	1987	8	19	8/19/1987
KVH183	20	20	Loba12101987un087fe	1987	12	10	12/10/1987
KVH184	21	21	Loba11031988ad300fe	1988	11	3	11/3/1988
KVH185	22	22	Loba06091989ad301fe	1989	6	9	6/9/1989
KVH186	23	23	Loba03031993ad869fe	1993	3	3	3/3/1993
KVH187	24	24	Loba03031993ad870fe	1993	3	3	3/3/1993
KVH188	25	25	Loba08211966ju974fe	1966	8	21	8/21/1966
KVH189	26	26	Loba10301997ju147fe	1997	10	30	10/30/1997
KVH190	27	27	Loba10301997ju148fe	1997	10	30	10/30/1997
KVH191	28	28	Loba01091998ju150fe	1998	1	9	1/9/1998
KVH192	29	29	Loba05022006un084fe	2006	5	2	5/2/2006
KVH193	30	30	Loba11061948ad825fe	1948	11	6	11/6/1948
KVH194	31	31	Loba12151950ad620fe	1950	12	15	12/15/1950
KVH195	32	32	Loba12161950ad621fe	1950	12	16	12/16/1950
KVH196	33	33	Loba02211991ad643fe	1991	2	21	2/21/1991
KVH197	34	34	Loba04101991ad952fe	1991	4	10	4/10/1991
KVH198	35	35	Loba05021991ad401fe	1991	5	2	5/2/1991
KVH199	36	36	Loba05311991ad529fe	1991	5	31	5/31/1991
KVH200	37	37	Loba06061991ad532fe	1991	6	6	6/6/1991
KVH201	38	38	Loba01241991ad310fe	1991	1	24	1/24/1991
KVH202	39	39	Loba08151991ad428fe	1991	8	15	8/15/1991
KVH203	40	40	Loba09241991ad541fe	1991	9	24	9/24/1991
KVH204	41	41	Loba03211991ad647fe	1991	3	21	3/21/1991
KVH205	42	42	Loba05081991ad915fe	1991	5	8	5/8/1991
KVH206	43	43	Loba04041991ad951fe	1991	4	4	4/4/1991
KVH207	44	44	Loba02211991ad315fe	1991	2	21	2/21/1991
KVH208	45	45	Loba06131991ad687fe	1991	6	13	6/13/1991
KVH209	46	46	Loba07311991ad684fe	1991	7	31	7/31/1991
KVH210	47	47	Loba06261991ad446fe	1991	6	26	6/26/1991
KVH211	48	48	Loba07091991ad408fe	1991	7	9	7/9/1991
KVH212	49	49	Loba08161991ad439fe	1991	8	16	8/16/1991
KVH213	50	50	Loba11141991ad404fe	1991	11	14	11/14/1991
KVH214	51	51	Loba08011991ad536fe	1991	8	1	8/1/1991
KVH215	52	52	Loba01231991ad562fe	1991	1	23	1/23/1991
